HOLEID,TCU
17001984,0.59
17001985,0.629
17001986,0.651
17001987,0.172
17001947,0.102
17001948,0.051
17001949,0.089
17001950,0.067
17001973,0.051
17001974,0.093
17001975,0.082
17001976,0.065
17001977,0.048
17001978,0.097
17001979,0.112
17001980,0.127
17001981,0.215
17001982,0.358
17001983,1.508
17001988,0.0
17001989,0.0
17001990,0.0
17001991,0.0
17001992,0.0
17001993,0.0
17001994,0.0
17001995,0.0
17001996,0.0
17001997,0.0
17001998,0.0
17001999,0.0
17002000,0.0
17002001,0.0
17002002,0.0
17002003,0.0
17002004,0.0
17002005,0.0
17002006,0.0
17002007,0.0
17002008,0.0
17002009,0.0
17002010,0.0
17002011,0.0
17002012,0.0
17002013,0.0
17002014,0.0
17002015,0.0
17002016,0.0
17002017,0.0
17002018,0.0
17002019,0.0
17002020,0.0
17002021,0.0
17002022,0.0
17002023,0.0
17002024,0.0
17002025,0.0
17501954,0.185
17501955,0.267
17501956,0.308
17501957,1.161
17501958,0.409
17501959,0.456
17501960,0.258
17501961,0.718
17501962,0.204
17501975,0.147
17501976,0.111
17501977,0.337
17501978,0.299
17501979,0.421
17501980,0.618
17501981,0.19
17501982,0.116
17501987,0.37
17501988,0.41
17501989,0.377
17501983,0.351
17501984,0.367
17501985,0.541
17501986,0.204
17502021,0.303
17502022,0.219
17502023,0.058
17502024,0.189
17502025,0.177
17502026,0.243
17502027,0.184
17502028,0.168
17502029,0.248
17502030,0.192
17502031,0.195
17502032,0.198
17502033,0.155
17502034,0.181
17502035,0.12
17502036,0.136
17502037,0.051
17502038,0.14
17502048,0.197
17502049,0.237
17502050,0.189
17502051,0.144
17502052,0.181
17502053,0.246
17502054,0.271
17502055,0.233
17502056,0.211
17502047,0.183
17502057,0.193
17502058,0.191
17502059,0.183
17502060,0.385
17502061,0.166
17502062,0.157
17502063,0.18
17502064,0.164
17502065,0.159
17502066,0.165
17502067,0.194
17502083,0.168
17502084,0.154
17502085,0.16
17502086,0.157
17502087,0.344
17502039,0.157
17502040,0.099
17502041,0.138
17502042,0.133
17502043,0.153
17502044,0.191
17502045,0.162
17502046,0.164
17502068,0.168
17502069,0.146
17502070,0.199
17502071,0.142
17502072,0.11
17502073,0.126
17502074,0.086
17502075,0.122
17502076,0.101
